Name ;Type;Latitude;Longitude
Vennelystparken ;Bypark;56.164.892;10.206.985
Universitetsparken ;Bypark ;56.169.442;10.204.428
Skanseparken ;Bypark ;56.145.510;10.206.290
Botanisk have;Bypark;56.161.357;10.193.445
Rådhusparken;Bypark;56.152.394;10.200.815
Musikhusparken ;Bypark ;56.151.572;10.201.839
Mølleparken;Bypark;56.155.985;10.200.138
Sankt Olafur Kirkegård Park;Små byparker;56.158.301;10.213.228
Kildeparken;Små byparker;56.142.608;10.208.187
Tjørnelunden mindepark;Små byparker;56.164.020;10.181.382
Frederiskbjerg Bypark og byhaver;Små byparker;56.147.128;10.189.139
Rehabiliteringsparken;Små byparker;56.142.098;10.186.283
Langenæsparken;Parker i bykanten ;56.143.278;10.181.987
Vorrevangsparken ;Parker i bykanten ;56.186.221;10.202.510
Tangkrogen;Strandparker;56.138.739;10.207.520
Åkrogen Strandpark;Strandparker;56.203.280;10.283.443
Ørnereden og Strandmarken;Strandparker;56.085.574;10.246.948
Stadionsøerne;Skovparker Marselisborgskovene;56.135.776;10.195.272
Marselisborg Slotspark;Skovparker Marselisborgskovene;56.127.172;10.200.007
Forstbotanisk Have;Skovparker Marselisborgskovene;56.125.476;10.201.742
Dyrehaven ;Skovparker Marselisborgskovene;56.120.906;10.221.002
Ferdinandsplads og Tumlepladsen ;Skovparker Marselisborgskovene;56.176.844;10.222.872
Forteparken;Forstadsparker;56.195.698;10.221.695
Vestereng;Forstadsparker;56.185.534;10.178.617
101 Friendship Park;Forstadsparker;56.185.228;10.171.423
Marienlystparken;Forstadsparker;56.179.242;10.157.034
Hasle Bakker;Forstadsparker;56.168.478;10.141.457
Skjoldhøjkilen;Forstadsparker;56.169.865;10.119.543
Klokkerparken;Forstadsparker;56.161.989;10.157.329
Tilst Bypark og Langkæret;Forstadsparker;56.190.262;10.098.802
Åby Park;Forstadsparker;56.154.876;10.163.589
Byvangen;Forstadsparker;56.130.616;10.168.989
Viby Park;Forstadsparker;56.126.616;10.165.935
Høskoven;Forstads-Naturparker;56.132.922;10.143.668
Kattehøj;Forstads-Naturparker;56.104.645;10.210.946
Å-parken;;56.153.599;10.189.686
Brabrandsø;;56.146.563;10.110.523
Naturcenter Sølyst;Søparker;56.146.137;10.140.438
Brabrand Søpark;Søparker;56.151.443;10.107.204
Lisbjerg Skov;;56.234.269;10.174.636
Bærmoseskov;;56.203.167;10.206.087
Mollerup Skov;;56.260.568;10.096.497
Brendstrup Skov;;56.178.515;10.144.187
Gjellerup Skov;;56.150.597;10.142.471
Årslev Engsø ;;56.141.194;10.066.611
Naturområdet ved AUH;;56.194.654;10.160.975
