Postalcode;Ranking;School ;Notes ;
8000;1073;Frederiksbjerg skole;*lavet ud fra CEPOS liste ;
8000;647;Læssøegades skole;;
8000;655;Samsøgade skole;;
8200;697;Skovvangsskolen ;;
8200;456;Katrinebjergskolen;;
8200;483;Lisbjergskolen;;
8200;491;Vorrevangsskolen ;;
8210;380;Møllevangskolen ;;
8210;93;Hasle skole;;
8210;592;Ellehøjskolen ;*make as average of Ellekærskolen and Tovshøjskolen ;
8220;177;Engdalskolen ;;
8220;92;Sødalskolen ;;
8230;644;Åby skole ;;
8230;133;Gammelgaardsskolen ;;
8240;427;Risskov skole;;
8240;89;Strandskolen ;;
8240;451;Ellevangskolen ;;
8250;185;Sølystskolen ;;
8250;310;Skæring skole ;;
8260;541;Højvangskolen ;;
8260;355;Søndervangskolen;;
8260;214;Vestergårdsskolen ;;
8260;681;Viby skole;;
8260;185;Rosenvangskolen ;;
8270;119;Skåde skole;;
8270;69;Kragelundskolen ;;
8270;385;Rundhøjskolen ;;
8270;299;Holme skole ;;
8310;267;Tranbjergskole;;
8320;440;Mårslet skole;;
8330;487;Beder skole;;
8340;176;Malling skole;;
8355;170;Solbjergskolen ;*lavet ud fra CEPOS liste ;
8361;710;Bavnehøj skole ;;
8380;684;Bakkegårdsskolen ;;
8381;32;Tilst skole ;*lavet ud fra CEPOS liste ;
8381;260;Skjoldhøjskolen;;
8462;301;Næshøjskolen ;;
8471;620;Sabro-Korsvejskolen ;;
8520;404;Elsted skole ;;
8520;424;Lystrup skole;;
8520;129;Elev skole ;*lavet ud fra Hårup skoles ;
8530;593;Virupskolen ;;
8530;129;Hårup skole;;
8541;265;Skødstrup skole ;*lavet ud fra CEPOS liste ;
